"KAZNIVO DEJANJE","Vložnik ovadbe - SKUPAJ 2013","Vložnik ovadbe - SKUPAJ 2014","Vložnik ovadbe - SKUPAJ 2015","Vložnik ovadbe - SKUPAJ 2016","Vložnik ovadbe - SKUPAJ 2017","Vložnik ovadbe - SKUPAJ 2018","Vložnik ovadbe - SKUPAJ 2019","Vložnik ovadbe - SKUPAJ 2020","Vložnik ovadbe - SKUPAJ 2021","Drugo 2013","Drugo 2014","Drugo 2015","Drugo 2016","Drugo 2017","Drugo 2018","Drugo 2019","Drugo 2020","Drugo 2021","Oškodovanec 2013","Oškodovanec 2014","Oškodovanec 2015","Oškodovanec 2016","Oškodovanec 2017","Oškodovanec 2018","Oškodovanec 2019","Oškodovanec 2020","Oškodovanec 2021","Policija 2013","Policija 2014","Policija 2015","Policija 2016","Policija 2017","Policija 2018","Policija 2019","Policija 2020","Policija 2021","Inšpekcija 2013","Inšpekcija 2014","Inšpekcija 2015","Inšpekcija 2016","Inšpekcija 2017","Inšpekcija 2018","Inšpekcija 2019","Inšpekcija 2020","Inšpekcija 2021","Agencija za plaèilni promet RS 2013","Agencija za plaèilni promet RS 2014","Agencija za plaèilni promet RS 2015","Agencija za plaèilni promet RS 2016","Agencija za plaèilni promet RS 2017","Agencija za plaèilni promet RS 2018","Agencija za plaèilni promet RS 2019","Agencija za plaèilni promet RS 2020","Agencija za plaèilni promet RS 2021","Sam storilec 2013","Sam storilec 2014","Sam storilec 2015","Sam storilec 2016","Sam storilec 2017","Sam storilec 2018","Sam storilec 2019","Sam storilec 2020","Sam storilec 2021","Neposredna ugotovitev državnega tožilstva 2013","Neposredna ugotovitev državnega tožilstva 2014","Neposredna ugotovitev državnega tožilstva 2015","Neposredna ugotovitev državnega tožilstva 2016","Neposredna ugotovitev državnega tožilstva 2017","Neposredna ugotovitev državnega tožilstva 2018","Neposredna ugotovitev državnega tožilstva 2019","Neposredna ugotovitev državnega tožilstva 2020","Neposredna ugotovitev državnega tožilstva 2021","Drug obèan 2013","Drug obèan 2014","Drug obèan 2015","Drug obèan 2016","Drug obèan 2017","Drug obèan 2018","Drug obèan 2019","Drug obèan 2020","Drug obèan 2021","Državni pravobranilec 2013","Državni pravobranilec 2014","Državni pravobranilec 2015","Državni pravobranilec 2016","Državni pravobranilec 2017","Državni pravobranilec 2018","Državni pravobranilec 2019","Državni pravobranilec 2020","Državni pravobranilec 2021","Sodišèe 2013","Sodišèe 2014","Sodišèe 2015","Sodišèe 2016","Sodišèe 2017","Sodišèe 2018","Sodišèe 2019","Sodišèe 2020","Sodišèe 2021"
"5.XXVIII.283040 kriva ovadba - od. 4",3,3,6,5,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,2,-,2,-,-,-,-,-,3,1,6,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.283052 kriva ovadba - od. 5 v zvezi z od. 2",3,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.284 kriva izpovedba",4,21,12,17,-,-,-,-,-,0,1,-,2,-,-,-,-,-,1,15,7,11,-,-,-,-,-,3,5,3,3,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,2,-,-,-,-,-,-
"5.XXVIII.284010 kriva izpovedba - od. 1",2,15,4,6,-,-,-,-,-,0,-,-,2,-,-,-,-,-,1,12,2,2,-,-,-,-,-,1,3,-,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,2,-,-,-,-,-,-
"5.XXVIII.284020 kriva izpovedba - od. 2",1,1,4,4,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,3,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.284030 kriva izpovedba - od. 3",1,5,4,4,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,3,2,3,-,-,-,-,-,1,2,2,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.284043 kriva izpovedba - od. 4 v zvezi z od. 3",-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXVIII.285 prepreèitev dokazovanja",2,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.285010 prepreèitev dokazovanja - od. 1",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXVIII.285020 prepreèitev dokazovanja - od. 2",2,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.286 oviranje pravosodnih in drugih državnih organov",5,5,10,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,3,7,2,-,-,-,-,-,2,2,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.286010 oviranje pravosodnih in drugih državnih organov - od. 1",4,2,10,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,2,7,2,-,-,-,-,-,1,-,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.286020 oviranje pravosodnih in drugih državnih organov - od. 2",1,3,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.287 kršitev tajnosti postopka",-,1,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXVIII.287010 kršitev tajnosti postopka - od. 1",-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXVIII.287020 kršitev tajnosti postopka - od. 2",-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXVIII.288 protizakonito, pristransko in krivièno sojenje",1,1,2,7,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,1,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,3,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXVIII.288010 protizakonito, pristransko in krivièno sojenje - od. 1",1,1,2,7,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,1,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,3,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX KAZNIVA DEJANJA ZOPER JAVNI RED IN MIR",80,267,217,128,-,-,-,-,-,4,6,7,4,-,-,-,-,-,26,79,67,57,-,-,-,-,-,49,181,141,64,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.294 hudodelsko združevanje",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.294010 hudodelsko združevanje - od. 1",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.296 nasilništvo",14,80,60,28,-,-,-,-,-,0,-,3,-,-,-,-,-,-,9,16,13,23,-,-,-,-,-,5,63,44,5,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.296010 nasilništvo - od. 1",5,35,23,13,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,9,4,11,-,-,-,-,-,3,26,19,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.296021 nasilništvo - od. 2 v zvezi z od. 1",9,44,37,15,-,-,-,-,-,0,-,3,-,-,-,-,-,-,7,7,9,12,-,-,-,-,-,2,36,25,3,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.296030 nasilništvo - od. 3",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.297 javno spodbujanje sovraštva, nasilja ali nestrpnosti",1,1,3,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,0,-,2,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.297010 javno spodbujanje sovraštva, nasilja ali nestrpnosti - od. 1",1,1,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,0,-,2,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.297041 javno spodbujanje sovraštva, nasilja ali nestrpnosti - od. 4 v zvezi z od. 1",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.298 sodelovanje v skupini, ki stori kaznivo dejanje",-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.298021 sodelovanje v skupini, ki stori kaznivo dejanje - od. 2 v zvezi z od. 1",-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.299 prepreèitev uradnega dejanja ali mašèevanja uradni osebi",16,85,66,35,-,-,-,-,-,0,-,-,1,-,-,-,-,-,9,35,30,22,-,-,-,-,-,7,50,34,10,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.299010 prepreèitev uradnega dejanja ali mašèevanja uradni osebi - od. 1",2,17,13,6,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,5,5,4,-,-,-,-,-,2,12,7,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.299021 prepreèitev uradnega dejanja ali mašèevanja uradni osebi - od. 2 v zvezi z od. 1",2,15,6,3,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,7,1,2,-,-,-,-,-,0,8,5,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.299031 prepreèitev uradnega dejanja ali mašèevanja uradni osebi - od. 3 v zvezi z od. 1",8,40,36,16,-,-,-,-,-,0,-,-,1,-,-,-,-,-,4,16,19,7,-,-,-,-,-,4,24,16,8,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.299040 prepreèitev uradnega dejanja ali mašèevanja uradni osebi - od. 4",4,13,11,10,-,-,-,-,-,0,-,-,-,-,-,-,-,-,3,7,5,9,-,-,-,-,-,1,6,6,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.300 napad na uradno osebo, ko opravlja naloge varnosti",9,20,18,2,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,4,6,2,-,-,-,-,-,3,12,12,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.300010 napad na uradno osebo, ko opravlja naloge varnosti - od. 1",1,7,9,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,0,7,8,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.300021 napad na uradno osebo, ko opravlja naloge varnosti - od. 2 v zvezi z od. 1",2,8,7,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,2,4,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.300031 napad na uradno osebo, ko opravlja naloge varnosti - od. 3 v zvezi z od. 1",6,5,2,1,-,-,-,-,-,4,4,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,1,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.301 sodelovanje v skupini, ki prepreèi uradni osebi uradno dejanje",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.301010 sodelovanje v skupini, ki prepreèi uradni osebi uradno dejanje - od. 1",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.303 odstranitev ali poškodovanje uradnega peèata ali znamenja",-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.303000 odstranitev ali poškodovanje uradnega peèata ali znamenja",-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.304 odvzem ali unièenje uradnega peèata ali uradnih spisov",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.304010 odvzem ali unièenje uradnega peèata ali uradnih spisov - od. 1",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.305 lažno izdajanje za uradno ali vojaško osebo",-,6,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.305010 lažno izdajanje za uradno ali vojaško osebo - od. 1",-,6,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.306 izdelovanje in pridobivanje orožja in pripomoèkov, namenjenih za kaznivo dejanje",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.306010 izdelovanje in pridobivanje orožja in pripomoèkov, namenjenih za kaznivo dejanje - od. 1",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.307 nedovoljena proizvodnja in promet orožja ali eksploziva",9,25,21,25,-,-,-,-,-,0,1,1,1,-,-,-,-,-,1,5,1,4,-,-,-,-,-,7,19,19,19,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.307010 nedovoljena proizvodnja in promet orožja ali eksploziva - od. 1",1,13,16,15,-,-,-,-,-,0,-,1,-,-,-,-,-,-,1,5,1,3,-,-,-,-,-,0,8,14,11,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.307021 nedovoljena proizvodnja in promet orožja ali eksploziva - od. 2 v zvezi z od. 1",-,3,3,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XXIX.307031 nedovoljena proizvodnja in promet orožja ali eksploziva - od. 3 v zvezi z od. 1",8,9,2,5,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,7,8,2,4,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
"5.XXIX.308 prepovedano prehajanje meje ali ozemlja države",18,16,16,26,-,-,-,-,-,0,1,3,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,18,15,13,25,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
